#{"t_start": 1785771717.1583807, "env_id": "None"}
r,l,t
-14.292791,3,122.247391
-12.120726,4,122.328969
-15.386172,3,122.392623
-14.470251,3,122.488267
-15.463712,3,122.560782
-15.312791,3,122.795342
-9.246147,5,123.083325
-15.235251,3,123.172334
-14.556902,3,123.231386
-15.055712,3,123.320036
-15.312791,3,123.404556
-15.641172,3,123.470356
-15.157712,3,123.529196
-15.259712,3,123.590587
-14.621172,3,123.655408
-13.040587,4,123.721337
-15.437172,3,123.783721
-14.454902,3,123.840025
-12.521283,4,124.083112
-15.235251,3,124.177161
56.488614,5,124.24878
-14.658902,3,124.313645
-15.117902,3,124.372563
-15.219902,3,124.42941
52.070717,4,124.723446
-15.057791,3,125.068311
-15.284172,3,125.134329
-15.184251,3,125.203808
-14.454902,3,125.269657
-15.029172,3,125.327616
-14.545712,3,125.435464
-10.047028,5,125.537091
-14.929251,3,125.653875
52.274717,4,125.785262
-12.783726,4,125.850606
-15.321902,3,125.915587
-15.168902,3,125.977436
-15.029172,3,126.038892
-14.980251,3,126.351977
-15.235251,3,126.671185
-15.066902,3,126.7326
-14.366172,3,126.795424
-11.406726,4,126.883959
-15.057791,3,127.335464
-15.474902,3,127.399369
56.233614,5,127.490109
-15.055712,3,127.610873
53.400439,4,127.792535
-14.292791,3,128.077537
-14.341712,3,128.142522
-15.286251,3,128.257697
-15.388251,3,128.331148
-14.980251,3,128.41563
-12.117004,4,128.499573
-15.131172,3,128.559935
-15.131172,3,128.620366
-15.361712,3,128.736222
-15.312791,3,129.015865
-13.552251,3,129.105431
-12.317282,4,129.364503
-14.572251,3,129.465853
-15.414791,3,129.767171
-12.530587,4,129.837083
-14.266251,3,129.920578
-15.208712,3,130.029778
-15.539172,3,130.092216
-15.361712,3,130.170357
-15.219902,3,130.232181
-15.066902,3,130.293541
-14.545712,3,130.386921
-13.344726,4,130.518439
52.988717,4,130.673804
-15.133251,3,130.788639
-14.878251,3,130.873616
-15.159791,3,131.338981
-13.448587,4,131.405512
-15.490251,3,131.511796
-14.853791,3,131.603816
-14.366172,3,131.667275
-15.576902,3,131.732643
-14.190791,3,131.830972
-15.372902,3,131.897334
-15.463712,3,131.983859
-15.437172,3,132.053239
53.29844,4,132.299307
-15.235251,3,132.428601
-13.627712,3,132.495935
-15.006791,3,132.785801
-12.530587,4,132.856287
-15.310712,3,132.958916
-14.470251,3,133.067669
-12.324726,4,133.139983
-13.038726,4,133.222025
-15.066902,3,133.28588
-15.182172,3,133.344748
-14.980251,3,133.472785
-15.463712,3,133.53691
-12.61956,4,133.675491
-14.341712,3,133.766109
-14.853791,3,134.009523
-14.139791,3,134.332492
-14.470251,3,134.427654
-14.723172,3,134.484946
-14.454902,3,134.551348
-15.029172,3,134.618388
-15.117902,3,134.682243
-13.091587,4,134.745334
-14.647712,3,134.833868
-15.474902,3,134.899736
-12.989587,4,134.961169
58.436294,6,135.052324
-14.519172,3,135.112536
-15.386172,3,135.17568
-15.539172,3,135.231008
56.911733,5,135.505564
-15.082251,3,135.598173
-14.366172,3,135.657547
-15.312791,3,135.719543
-13.193587,4,135.777855
-14.292791,3,135.860812
-13.346587,4,135.920747
-14.443712,3,135.988681
-9.159267,5,136.125444
-12.011283,4,136.507368
56.233614,5,136.594975
-14.290712,3,136.663633
52.070717,4,136.888047
