#{"t_start": 1785771729.2566907, "env_id": "None"}
r,l,t
-38.466907,17,235.158782
26.559792,13,235.84764
57.509455,6,236.358067
-34.16643,11,236.638077
-39.536278,16,236.920949
45.917297,9,237.122118
59.039186,6,237.349634
-38.46235,17,237.588044
-38.478603,17,237.826255
59.020863,6,238.034817
59.038308,6,238.305625
53.011741,8,238.511642
30.602269,11,238.890787
53.087798,8,239.746445
-38.446707,17,240.013972
-39.234909,14,240.274538
-38.452717,17,240.562033
57.946238,5,240.848168
53.136768,8,241.042005
59.063177,6,241.192752
-38.457972,17,241.451686
-38.454079,17,241.71679
57.918743,5,241.982961
-38.473347,17,242.250521
57.368937,5,242.777159
45.888376,9,243.001702
57.928475,5,243.341601
37.93804,10,243.831308
59.068784,6,244.001263
30.991676,11,244.309789
59.054179,6,244.486319
-38.450325,17,244.731427
-37.086922,12,244.99704
59.040308,6,245.204849
-7.595776,5,245.410903
-38.467147,17,245.661739
-38.450111,17,245.913137
28.198424,12,246.474532
-39.510173,17,246.765651
-38.484556,17,247.043674
-38.486417,17,247.287572
31.068151,11,247.561524
-38.453457,17,247.813714
59.073925,6,247.997924
-38.455327,17,248.229308
45.88566,9,248.429038
-38.464212,13,248.674222
-39.067744,17,248.944547
31.06045,11,249.167648
-7.154531,6,249.37288
53.002451,8,249.803971
-38.472997,17,250.060925
-39.206048,14,250.658342
59.031332,6,250.829463
-38.465487,17,251.07727
59.0309,6,251.294126
45.578921,9,251.525009
59.003842,6,251.707606
45.880006,9,251.91583
58.977863,6,252.083282
30.962742,11,252.364647
50.99081,8,252.884846
-34.548481,11,253.186627
59.018608,6,253.43185
-39.406814,17,253.727237
57.957221,5,254.114603
57.958995,5,254.361061
57.915937,5,254.617135
45.962001,9,255.505835
-8.55066,5,255.635839
-38.458718,17,255.878684
59.046193,6,256.136614
59.071393,6,256.332934
-39.361554,15,256.616743
31.056793,11,256.861226
45.071386,9,257.405895
57.949874,5,257.675074
57.802805,5,257.911229
26.556436,13,258.448907
37.423257,10,258.909456
36.778894,10,259.431272
-38.455358,17,259.679857
-39.491183,17,259.982696
-38.447877,17,260.233386
59.065453,6,260.423303
45.924143,9,260.633466
58.481798,6,260.9637
-38.477244,17,261.213832
-7.247187,7,261.759668
-38.467146,17,262.005831
59.063926,6,262.195838
45.916452,9,263.049695
45.917895,9,263.239625
-38.467167,17,263.492552
57.709386,5,263.988225
59.073769,6,264.243017
-38.488791,17,264.497374
37.940511,10,265.061791
59.058049,6,265.426227
45.903522,9,265.665658
59.060344,6,265.86665
26.543199,13,266.334501
-38.454213,13,266.889688
-38.448743,17,267.161811
-38.443344,17,267.420913
-38.46317,17,267.671241
59.064274,6,267.857681
-38.45044,17,268.096153
59.024395,6,268.259095
59.064051,6,268.438457
-38.46658,17,268.67223
-39.21425,14,268.929618
45.904956,9,269.120997
-38.499236,17,269.358178
45.905643,9,269.539263
57.962373,5,269.881896
45.948701,9,270.703849
-38.459892,17,270.938811
57.751532,7,271.105989
-37.64294,12,271.498941
59.056437,6,271.763763
52.76052,8,271.93601
45.920837,9,272.141423
-34.751983,11,272.405516
-6.055328,6,273.099862
-6.84405,6,273.40232
-38.464977,17,273.641147
45.907129,9,274.32686
-39.5483,16,274.613804
59.084634,6,274.855999
-38.46765,17,275.088164
-38.469085,17,275.323848
-38.500077,17,275.563945
45.889788,9,275.771715
57.765919,7,275.959782
-38.448104,17,276.197841
45.917446,9,276.676129
-38.478079,17,276.903709
57.77144,7,277.088044
